STATE_CODE,STATE_NAME,LGA_CODE,LGA_NAME
1,SOKOTO,1,GUDU
1,SOKOTO,2,BINJI
1,SOKOTO,3,TANGAZA
1,SOKOTO,4,GWADABAWA
1,SOKOTO,5,ILLELA
1,SOKOTO,6,GADA
1,SOKOTO,7,SABON BIRNI
1,SOKOTO,8,ISA
1,SOKOTO,9,GORONYO
1,SOKOTO,10,WURNO
1,SOKOTO,11,RABAH
1,SOKOTO,12,KWARE
1,SOKOTO,13,SOKOTO SOUTH
1,SOKOTO,14,SOKOTO NORTH
1,SOKOTO,15,WAMAKKO
1,SOKOTO,16,SILAME
1,SOKOTO,17,YABO
1,SOKOTO,18,BODINGA
1,SOKOTO,19,DANGE SHUNI
1,SOKOTO,20,TURETA
1,SOKOTO,21,SHAGARI
1,SOKOTO,22,TAMBUWAL
1,SOKOTO,23,KEBBE
2,ZAMFARA,24,GUMMI
2,ZAMFARA,25,BUKKUYUM
2,ZAMFARA,26,ANKA
2,ZAMFARA,27,BAKURA
2,ZAMFARA,28,TALATA MAFARA
2,ZAMFARA,29,MARADUN
2,ZAMFARA,30,SHINKAFI
2,ZAMFARA,31,ZURMI
2,ZAMFARA,32,BIRNIN MAGAJI
2,ZAMFARA,33,KAURA NAMODA
2,ZAMFARA,34,TSAFE
2,ZAMFARA,35,GUSAU
2,ZAMFARA,36,BUNGUDU
2,ZAMFARA,37,MARU
3,KATSINA,38,BAURE
3,KATSINA,39,ZANGO
3,KATSINA,40,SANDAMU
3,KATSINA,41,DUTSI
3,KATSINA,42,DAURA
3,KATSINA,43,MAI'ADUA
3,KATSINA,44,MASHI
3,KATSINA,45,KAITA
3,KATSINA,46,KATSINA
3,KATSINA,47,JIBIA
3,KATSINA,48,BATSARI
3,KATSINA,49,BATAGARAWA
3,KATSINA,50,RIMI
3,KATSINA,51,MANI
3,KATSINA,52,INGAWA
3,KATSINA,53,KUSADA
3,KATSINA,54,BINDAWA
3,KATSINA,55,CHARANCHI
3,KATSINA,56,KURFI
3,KATSINA,57,SAFANA
3,KATSINA,58,DUTSIN MA
3,KATSINA,59,KANKIA
3,KATSINA,60,MATAZU
3,KATSINA,61,DAN MUSA
3,KATSINA,62,KANKARA
3,KATSINA,63,MUSAWA
3,KATSINA,64,MALUMFASHI
3,KATSINA,65,KAFUR
3,KATSINA,66,BAKORI
3,KATSINA,67,FASKARI
3,KATSINA,68,SABUWA
3,KATSINA,69,DANDUME
3,KATSINA,70,FUNTUA
3,KATSINA,71,DANJA
4,JIGAWA,72,RONI
4,JIGAWA,73,GWIWA
4,JIGAWA,74,YANKWASHI
4,JIGAWA,75,KAZAURE
4,JIGAWA,76,BABURA
4,JIGAWA,77,GARKI
4,JIGAWA,78,SULE TANKARKAR
4,JIGAWA,79,GUMEL
4,JIGAWA,80,GAGARAWA
4,JIGAWA,81,MAIGATARI
4,JIGAWA,82,KAUGAMA
4,JIGAWA,83,MALAM MADORI
4,JIGAWA,84,BIRNIWA
4,JIGAWA,85,GURI
4,JIGAWA,86,KIRIKASAMMA
4,JIGAWA,87,HADEJIA
4,JIGAWA,88,AUYO
4,JIGAWA,89,KAFIN-HAUSA
4,JIGAWA,90,MIGA
4,JIGAWA,91,TAURA
4,JIGAWA,92,RINGIM
4,JIGAWA,93,JAHUN
4,JIGAWA,94,KIYAWA
4,JIGAWA,95,DUTSE
4,JIGAWA,96,BIRNIN KUDU
4,JIGAWA,97,BUJI
4,JIGAWA,98,GWARAM
5,YOBE,99,MACHINA
5,YOBE,100,NGURU
5,YOBE,101,YUSUFARI
5,YOBE,102,YUNUSARI
5,YOBE,103,GEIDAM
5,YOBE,104,BURSARI
5,YOBE,105,KARASUWA
5,YOBE,106,BADE
5,YOBE,107,JAKUSKO
5,YOBE,108,FUNE
5,YOBE,109,TARMUWA
5,YOBE,110,DAMATURU
5,YOBE,111,GUJBA
5,YOBE,112,GULANI
5,YOBE,113,FIKA
5,YOBE,114,POTISKUM
5,YOBE,115,NANGERE
6,BORNO,116,MOBBAR
6,BORNO,117,ABADAN
6,BORNO,118,KUKAWA
6,BORNO,119,GUZAMALA
6,BORNO,120,GUBIO
6,BORNO,121,MAGUMERI
6,BORNO,122,KAGA
6,BORNO,123,KONDUGA
6,BORNO,124,MAIDUGURI METROPOLITAN CITY
6,BORNO,125,JERE
6,BORNO,126,NGANZAI
6,BORNO,127,MONGUNO
6,BORNO,128,MARTE
6,BORNO,129,MAFA
6,BORNO,130,DIKWA
6,BORNO,131,NGALA
6,BORNO,132,KALA_BALGE
6,BORNO,133,BAMA
6,BORNO,134,GWOZA
6,BORNO,135,DAMBOA
6,BORNO,136,ASKIRA_UBA
6,BORNO,137,CHIBOK
6,BORNO,138,BIU
6,BORNO,139,KWAYA_KUSAR
6,BORNO,140,BAYO
6,BORNO,141,SHANI
6,BORNO,142,HAWUL
7,ADAMAWA,143,MADAGALI
7,ADAMAWA,144,MICHIKA
7,ADAMAWA,145,MUBI  NORTH
7,ADAMAWA,146,MUBI SOUTH
7,ADAMAWA,147,MAIHA
7,ADAMAWA,148,HONG
7,ADAMAWA,149,GOMBI
7,ADAMAWA,150,SONG
7,ADAMAWA,151,SHELLENG
7,ADAMAWA,152,GUYUK
7,ADAMAWA,153,LAMURDE
7,ADAMAWA,154,NUMAN
7,ADAMAWA,155,DEMSA
7,ADAMAWA,156,YOLA NORTH
7,ADAMAWA,157,YOLA SOUTH
7,ADAMAWA,158,GIREI
7,ADAMAWA,159,FUFORE
7,ADAMAWA,160,MAYO BELWA
7,ADAMAWA,161,JADA
7,ADAMAWA,162,GANYE
7,ADAMAWA,163,TOUNGO
8,GOMBE,164,DUKKU
8,GOMBE,165,NAFADA
8,GOMBE,166,FUNA KAYE
8,GOMBE,167,KWAMI
8,GOMBE,168,AKKO
8,GOMBE,169,GOMBE
8,GOMBE,170,YAMALTU-DEBA
8,GOMBE,171,BALANGA
8,GOMBE,172,KALTUNGO
8,GOMBE,173,BILLIRI
8,GOMBE,174,SHONGOM
9,BAUCHI,175,ZAKI
9,BAUCHI,176,GAMAWA
9,BAUCHI,177,ITAS GADAU
9,BAUCHI,178,JAMA'ARE
9,BAUCHI,179,KATAGUM
9,BAUCHI,180,SHIRA
9,BAUCHI,181,GIADE
9,BAUCHI,182,DASS
9,BAUCHI,183,DAMBAM
9,BAUCHI,184,DARAZO
9,BAUCHI,185,GANJUWA
9,BAUCHI,186,WARJI
9,BAUCHI,187,NINGI
9,BAUCHI,188,TORO
9,BAUCHI,189,BAUCHI
9,BAUCHI,190,KIRFI
9,BAUCHI,191,ALKALERI
9,BAUCHI,192,TAFAWA BALEWA
9,BAUCHI,193,MISAU
9,BAUCHI,194,BOGORO
10,KANO,195,KUNCHI
10,KANO,196,MAKODA
10,KANO,197,DAMBATTA
10,KANO,198,GABASAWA
